date,id,storage
07/01/2018,1,500.01845230036224
14/01/2018,1,512.1715943696402
21/01/2018,1,511.2573798378463
28/01/2018,1,509.6668733814622
04/02/2018,1,523.827934916736
11/02/2018,1,523.3502124162777
18/02/2018,1,546.6474400714338
25/02/2018,1,573.3012278071875
04/03/2018,1,553.1889288726352
11/03/2018,1,558.5493381361842
18/03/2018,1,582.3881603612987
25/03/2018,1,587.466909688938
01/04/2018,1,590.6464384036345
08/04/2018,1,581.9280870502175
15/04/2018,1,602.1243890453155
22/04/2018,1,619.519071002549
29/04/2018,1,595.2913064380494
06/05/2018,1,614.7845201294838
13/05/2018,1,599.144715746522
20/05/2018,1,614.1454636486645
27/05/2018,1,611.4905331827306
03/06/2018,1,641.0124524294911
10/06/2018,1,630.7355943549125
17/06/2018,1,658.8032367840589
24/06/2018,1,661.8436488907522
01/07/2018,1,661.210623217703
08/07/2018,1,630.5428012992716
15/07/2018,1,664.24448787396
22/07/2018,1,675.3731644405551
29/07/2018,1,681.3156388708989
05/08/2018,1,659.9136216623388
12/08/2018,1,678.6785350852774
19/08/2018,1,673.8713396306417
26/08/2018,1,678.8419743424513
02/09/2018,1,709.0309475355069
09/09/2018,1,682.8617417923567
16/09/2018,1,696.0558414352433
23/09/2018,1,711.0877108773117
30/09/2018,1,690.0534524134034
07/10/2018,1,697.8234680770485
14/10/2018,1,701.5524174043587
21/10/2018,1,700.9529729188545
28/10/2018,1,681.4253839919755
04/11/2018,1,700.4527724237435
11/11/2018,1,718.9076659505027
18/11/2018,1,674.2391498087594
25/11/2018,1,708.9660213065022
02/12/2018,1,696.2045359404882
09/12/2018,1,682.8435546553602
16/12/2018,1,720.2385664283239
23/12/2018,1,699.1515475146122
30/12/2018,1,666.9359972980145
06/01/2019,1,682.9772287967083
13/01/2019,1,687.1749939103258
20/01/2019,1,672.0940258998174
27/01/2019,1,681.3117853965148
03/02/2019,1,665.959717023037
10/02/2019,1,672.6085876030393
17/02/2019,1,679.5796077223056
24/02/2019,1,643.03502812353
03/03/2019,1,651.1586792321771
10/03/2019,1,635.8845516238988
17/03/2019,1,639.2544895378121
24/03/2019,1,613.8456948315818
31/03/2019,1,617.0775083236246
07/04/2019,1,616.7514892287238
14/04/2019,1,626.9262425135838
21/04/2019,1,624.2056731132959
28/04/2019,1,580.5986797280849
05/05/2019,1,581.8076360202664
12/05/2019,1,596.567865024567
19/05/2019,1,549.9865774334304
26/05/2019,1,565.8157461572589
02/06/2019,1,564.0867854412503
09/06/2019,1,577.0871594620393
16/06/2019,1,561.1727074908939
23/06/2019,1,538.4479763806924
30/06/2019,1,530.2879395226636
07/07/2019,1,524.4710706042046
14/07/2019,1,543.442619961577
21/07/2019,1,506.5045278084521
28/07/2019,1,500.68580179329444
04/08/2019,1,502.838197285608
11/08/2019,1,488.04978301593627
18/08/2019,1,479.22905085808117
25/08/2019,1,457.83062711520625
01/09/2019,1,466.75978788883083
08/09/2019,1,452.71877743944685
15/09/2019,1,469.3643907514838
22/09/2019,1,454.2399657626258
29/09/2019,1,436.73482197690413
06/10/2019,1,439.8690698110862
13/10/2019,1,417.59545870341753
20/10/2019,1,431.4398895006597
27/10/2019,1,408.66624376050294
03/11/2019,1,410.7221881838602
10/11/2019,1,375.9772646601294
17/11/2019,1,394.0648769613708
24/11/2019,1,357.2300084569938
01/12/2019,1,345.8852466781412
08/12/2019,1,365.8929335655238
15/12/2019,1,351.19768196530185
22/12/2019,1,361.594025654957
29/12/2019,1,387.44957785996627
05/01/2020,1,336.1636532172331
12/01/2020,1,334.3654980807239
19/01/2020,1,342.122010061108
26/01/2020,1,341.99052498558154
02/02/2020,1,327.7482606796369
09/02/2020,1,323.3552877702769
16/02/2020,1,333.28778574488666
23/02/2020,1,327.1182252436522
01/03/2020,1,300.65048821258665
08/03/2020,1,312.0758465297108
15/03/2020,1,311.17701293082627
22/03/2020,1,292.4946571714506
29/03/2020,1,310.1572565983143
05/04/2020,1,291.6246293093324
12/04/2020,1,317.5984579081278
19/04/2020,1,304.72348517517435
26/04/2020,1,302.27984432403605
03/05/2020,1,291.47720308784557
10/05/2020,1,298.26117709979326
17/05/2020,1,270.0675880157285
24/05/2020,1,283.3518998533646
31/05/2020,1,306.3501821498664
07/06/2020,1,269.8581318877429
14/06/2020,1,315.6579965795391
21/06/2020,1,278.23109790203665
28/06/2020,1,317.5265789463196
05/07/2020,1,295.5326895741824
12/07/2020,1,322.22332542840934
19/07/2020,1,315.106275376311
26/07/2020,1,292.9694143330411
02/08/2020,1,337.9112242032084
09/08/2020,1,344.21911593485936
